abandonment,abandon,abandonment,ment,Different
abasement,abas,abasement,ment,Different
abate,abat,abat,ate,Same
abate,abat,abat,ate,Same
abbreviation,abbrevi,abbreviat,tion,Different
abdicate,abdic,abdic,ate,Same
abdicate,abdic,abdic,ate,Same
abdominal,abdomin,abdomin,al,Same
aberration,aberr,aberrat,tion,Different
abeyance,abey,abeye,ance,Different
abeyance,abey,abeye,ance,Different
abilities,abil,abiliti,es,Different
abipones,abipon,abipon,es,Same
abjectness,abject,abject,ness,Same
abnegation,abneg,abnegat,tion,Different
abnormal,abnorm,abnormal,al,Different
abodes,abod,abod,es,Same
abolition,abolit,abolit,tion,Same
abomination,abomin,abominat,tion,Different
aboriginal,aborigin,aborigin,al,Same
aborigines,aborigin,aborigin,es,Same
abortion,abort,aborte,tion,Different
abruptness,abrupt,abrupt,ness,Same
absorption,absorpt,absorpte,tion,Different
abstraction,abstract,abstracte,tion,Different
absurdities,absurd,absurditi,es,Different
abundance,abund,abund,ance,Same
abundance,abund,abund,ance,Same
abuses,abus,abus,es,Same
abysses,abyss,abyss,es,Same
accedes,acced,acced,es,Same
accelerate,acceler,acceler,ate,Same
accelerate,acceler,acceler,ate,Same
acceptance,accept,accept,ance,Same
acceptance,accept,accept,ance,Same
acceptances,accept,acceptanc,es,Different
acceptation,accept,acceptat,tion,Different
accessible,access,access,ible,Same
accessible,access,access,ible,Same
accessories,accessori,accessori,es,Same
accidental,accident,accident,al,Same
accommodate,accommod,accommod,ate,Same
accommodate,accommod,accommod,ate,Same
accommodation,accommod,accommodat,tion,Different
accompanies,accompani,accompani,es,Same
accompaniment,accompani,accompani,ment,Same
accompanying,accompani,accompanying,ying,Different
accomplices,accomplic,accomplic,es,Same
accomplishes,accomplish,accomplish,es,Same
accomplishment,accomplish,accomplishment,ment,Different
accordance,accord,accord,ance,Same
accordance,accord,accord,ance,Same
accountabilities,account,accountabiliti,es,Different
accumulate,accumul,accumul,ate,Same
accumulate,accumul,accumul,ate,Same
accumulation,accumul,accumulat,tion,Different
accurate,accur,accur,ate,Same
accurate,accur,accur,ate,Same
accusation,accus,accusat,tion,Different
accuser,accus,accuser,er,Different
accuses,accus,accus,es,Same
aces,ace,ac,es,Different
aches,ach,ach,es,Same
achievement,achiev,achievement,ment,Different
achieves,achiev,achiev,es,Same
achilles,achill,achill,es,Same
acknowledgement,acknowledg,acknowledgement,ment,Different
acknowledges,acknowledg,acknowledg,es,Same
acknowledgment,acknowledg,acknowledgment,ment,Different
acquaintance,acquaint,acquaint,ance,Same
acquaintance,acquaint,acquaint,ance,Same
acquaintances,acquaint,acquaintanc,es,Different
acquiesces,acquiesc,acquiesc,es,Same
acquirement,acquir,acquirement,ment,Different
acquires,acquir,acquir,es,Same
acquisition,acquisit,acquisit,tion,Same
acquittal,acquitt,acquittal,al,Different
acres,acr,acr,es,Same
action,action,action,tion,Same
actresses,actress,actress,es,Same
actual,actual,actual,al,Same
actuate,actuat,actuat,ate,Same
actuate,actuat,actuat,ate,Same
acuteness,acut,acute,ness,Different
acuter,acut,acuter,er,Different
adages,adag,adag,es,Same
adaptation,adapt,adaptat,tion,Different
adapter,adapt,adapter,er,Different
adder,adder,adder,er,Same
addition,addit,addite,tion,Different
additional,addit,addition,al,Different
addresses,address,address,es,Same
adequate,adequ,adequate,ate,Different
adequate,adequ,adequate,ate,Different
adheres,adher,adher,es,Same
adjournment,adjourn,adjournment,ment,Different
adjuration,adjur,adjurat,tion,Different
adjustment,adjust,adjustment,ment,Different
administer,administ,administer,er,Different
administration,administr,administrat,tion,Different
administrative,administr,administr,ative,Same
administrative,administr,administr,ative,Same
admiral,admir,admiral,al,Different
admiration,admir,admirat,tion,Different
admirer,admir,admirer,er,Different
admires,admir,admir,es,Same
admittance,admitt,admitt,ance,Same
admittance,admitt,admitt,ance,Same
admonishes,admonish,admonish,es,Same
admonition,admonit,admonit,tion,Same
adoption,adopt,adopte,tion,Different
adoration,ador,adorat,tion,Different
adores,ador,ador,es,Same
adornment,adorn,adornment,ment,Different
adulation,adul,adulat,tion,Different
advance,advanc,adv,ance,Different
advance,advanc,adv,ance,Different
advancement,advanc,advancement,ment,Different
advances,advanc,advanc,es,Same
advantages,advantag,advantag,es,Same
adventurer,adventur,adventurer,er,Different
adventures,adventur,adventur,es,Same
adventuresses,adventuress,adventuress,es,Same
adversaries,adversari,adversari,es,Same
advertisement,advertis,advertisement,ment,Different
advertiser,advertis,advertiser,er,Different
adviser,advis,adviser,er,Different
advises,advis,advis,es,Same
advocate,advoc,advoc,ate,Same
advocate,advoc,advoc,ate,Same
adwiser,adwis,adwiser,er,Different
aerial,aerial,aerial,al,Same
aesthetic,aesthet,aesthet,ic,Same
aestivation,aestiv,aestivat,tion,Different
afer,afer,afer,er,Same
affectation,affect,affectat,tion,Different
affection,affect,affecte,tion,Different
affectionate,affection,affectio,ate,Different
affectionate,affection,affectio,ate,Different
affirmative,affirm,affirmate,ative,Different
affirmative,affirm,affirmate,ative,Different
affliction,afflict,afflicte,tion,Different
after,after,after,er,Same
agate,agat,agat,ate,Same
agate,agat,agat,ate,Same
agaves,agav,agav,es,Same
ages,age,ag,es,Different
agglomeration,agglomer,agglomerat,tion,Different
aggrandizement,aggrandiz,aggrandizement,ment,Different
aggravate,aggrav,aggrav,ate,Same
aggravate,aggrav,aggrav,ate,Same
aggravates,aggrav,aggravat,es,Different
aggravation,aggrav,aggravat,tion,Different
aggregate,aggreg,aggreg,ate,Same
aggregate,aggreg,aggreg,ate,Same
agitate,agit,agitate,ate,Different
agitate,agit,agitate,ate,Different
agitation,agit,agitat,tion,Different
agnes,agn,agn,es,Same
agonies,agoni,agoni,es,Same
agoutis,agouti,agoutis,is,Different
agreement,agreement,agreement,ment,Same
agrees,agre,agre,es,Same
agricultural,agricultur,agricultur,al,Same
aider,aider,aider,er,Same
ailment,ailment,ailment,ment,Same
airlessness,airless,airless,ness,Same
al,al,al,al,Same
alabaster,alabast,alabaster,er,Different
albicollis,albicolli,albicollis,is,Different
albicores,albicor,albicor,es,Same
alcicornis,alcicorni,alcicornis,is,Different
alder,alder,alder,er,Same
aldgate,aldgat,aldgat,ate,Same
aldgate,aldgat,aldgat,ate,Same
alehouses,alehous,alehous,es,Same
alexander,alexand,alexander,er,Different
allegation,alleg,allegat,tion,Different
allegiance,allegi,allegi,ance,Same
allegiance,allegi,allegi,ance,Same
allegorical,allegor,allegoric,al,Different
allegories,allegori,allegori,es,Same
aller,aller,aller,er,Same
alleviate,allevi,allevi,ate,Same
alleviate,allevi,allevi,ate,Same
alliance,allianc,alli,ance,Different
alliance,allianc,alli,ance,Different
alliances,allianc,allianc,es,Same
allies,alli,alli,es,Same
allowance,allow,allow,ance,Same
allowance,allow,allow,ance,Same
allowances,allow,allowanc,es,Different
alludes,allud,allud,es,Same
allurement,allur,allurement,ment,Different
alluvial,alluvi,alluvial,al,Different
almshouses,almshous,almshous,es,Same
alter,alter,alter,er,Same
alteration,alter,alterat,tion,Different
altercation,alterc,altercat,tion,Different
alternate,altern,alter,ate,Different
alternate,altern,alter,ate,Different
alternation,altern,alternat,tion,Different
alternative,altern,alternate,ative,Different
alternative,altern,alternate,ative,Different
alternatives,altern,alternativ,es,Different
altogether,altogeth,altogether,er,Different
amalgamate,amalgam,amalgam,ate,Same
amalgamate,amalgam,amalgam,ate,Same
amalgamation,amalgam,amalgamat,tion,Different
amancaes,amanca,amanca,es,Same
amanuensis,amanuensi,amanuensis,is,Different
amazement,amaz,amazement,ment,Different
amazes,amaz,amaz,es,Same
amber,amber,amber,er,Same
ambition,ambit,ambite,tion,Different
amelioration,amelior,ameliorat,tion,Different
amendment,amend,amendment,ment,Different
amiabilities,amiabl,amiabiliti,es,Different
ammunition,ammunit,ammunit,tion,Same
amoncelees,amoncele,amoncele,es,Same
amorites,amorit,amorit,es,Same
amphitheatrical,amphitheatr,amphitheatric,al,Different
amputation,amput,amputat,tion,Different
amusement,amus,amusement,ment,Different
amuses,amus,amus,es,Same
anaemic,anaem,anaem,ic,Same
analogies,analog,analogi,es,Different
analysis,analysi,analysis,is,Different
anatomical,anatom,anatomic,al,Different
ancestral,ancestr,ancestral,al,Different
anchovies,anchovi,anchovi,es,Same
andes,andes,and,es,Different
anecdotes,anecdot,anecdot,es,Same
angelic,angel,angel,ic,Same
anger,anger,anger,er,Same
angler,angler,angler,er,Same
angles,angl,angl,es,Same
animal,anim,anim,al,Same
animate,anim,animate,ate,Different
animate,anim,animate,ate,Different
animates,anim,animat,es,Different
animation,anim,animat,tion,Different
ankles,ankl,ankl,es,Same
annal,annal,annal,al,Same
annales,annal,annal,es,Same
annihilate,annihil,annihil,ate,Same
annihilate,annihil,annihil,ate,Same
annihilation,annihil,annihilat,tion,Different
anniversaries,anniversari,anniversari,es,Same
announcement,announc,announcement,ment,Different
announces,announc,announc,es,Same
annoyance,annoy,annoy,ance,Same
annoyance,annoy,annoy,ance,Same
annoyances,annoy,annoyanc,es,Different
annoying,annoy,annoying,ying,Different
annual,annual,annual,al,Same
anomalies,anomali,anomali,es,Same
anoother,anooth,anoother,er,Different
another,anoth,another,er,Different
answer,answer,answer,er,Same
antagonistic,antagonist,antagonist,ic,Same
antarctic,antarct,antarct,ic,Same
anteater,anteat,anteater,er,Different
antechamber,antechamb,antechamber,er,Different
antelopes,antelop,antelop,es,Same
anticipate,anticip,anticip,ate,Same
anticipate,anticip,anticip,ate,Same
anticipates,anticip,anticipat,es,Different
anticipation,anticip,anticipat,tion,Different
anticipative,anticip,anticip,ative,Same
anticipative,anticip,anticip,ative,Same
antilles,antill,antill,es,Same
antipodes,antipod,antipod,es,Same
antiquaries,antiquari,antiquari,es,Same
antiques,antiqu,antiqu,es,Same
antiquities,antiqu,antiquiti,es,Different
anxieties,anxieti,anxieti,es,Same
anywheres,anywher,anywher,es,Same
apartment,apart,apartment,ment,Different
apate,apat,apat,ate,Same
apate,apat,apat,ate,Same
apennines,apennin,apennin,es,Same
apertures,apertur,apertur,es,Same
apires,apir,apir,es,Same
apollinaris,apollinari,apollinaris,is,Different
apologetic,apologet,apologet,ic,Same
apologies,apolog,apologi,es,Different
apologize,apolog,apolog,ize,Same
apologize,apolog,apolog,ize,Same
apologizes,apolog,apologiz,es,Different
apoplectic,apoplect,apoplect,ic,Same
apostles,apostl,apostl,es,Same
apothecaries,apothecari,apothecari,es,Same
apparition,apparit,apparit,tion,Same
appeal,appeal,appeal,al,Same
appearance,appear,appear,ance,Same
appearance,appear,appear,ance,Same
appearances,appear,appearanc,es,Different
appellation,appel,appellat,tion,Different
appendages,appendag,appendag,es,Same
appetites,appetit,appetit,es,Same
appiness,appi,appi,ness,Same
apples,appl,appl,es,Same
appliances,applianc,applianc,es,Same
application,applic,applicat,tion,Different
applies,appli,appli,es,Same
applying,appli,applying,ying,Different
appointment,appoint,appointment,ment,Different
appreciate,appreci,appreci,ate,Same
appreciate,appreci,appreci,ate,Same
appreciates,appreci,appreciat,es,Different
appreciation,appreci,appreciat,tion,Different
apprentices,apprentic,apprentic,es,Same
approaches,approach,approach,es,Same
approbation,approb,approbat,tion,Different
appropriate,appropri,appropri,ate,Same
appropriate,appropri,appropri,ate,Same
appropriateness,appropri,appropriate,ness,Different
appropriation,appropri,appropriat,tion,Different
approval,approv,approval,al,Different
approves,approv,approv,es,Same
approximate,approxim,approxim,ate,Same
approximate,approxim,approxim,ate,Same
appurtenance,appurten,appurten,ance,Same
appurtenance,appurten,appurten,ance,Same
appurtenances,appurten,appurtenanc,es,Different
aptenodytes,aptenodyt,aptenodyt,es,Same
aptness,apt,apt,ness,Same
aptnesses,apt,aptness,es,Different
aquatic,aquat,aquat,ic,Same
aquilines,aquilin,aquilin,es,Same
arabic,arab,aric,ic,Different
arbiter,arbit,arbiter,er,Different
arcades,arcad,arcad,es,Same
archducal,archduc,archducal,al,Different
archer,archer,archer,er,Same
arches,arch,arch,es,Same
archipelagoes,archipelago,archipelago,es,Same
architectural,architectur,architectur,al,Same
archness,arch,arch,ness,Same
arctic,arctic,arct,ic,Different
ardness,ard,ard,ness,Same
arenales,arenal,arenal,es,Same
argues,argu,argu,es,Same
argument,argument,argument,ment,Same
argumentative,argument,argument,ative,Same
argumentative,argument,argument,ative,Same
arises,aris,aris,es,Same
aristides,aristid,aristid,es,Same
aristocratic,aristocrat,aristocrat,ic,Same
arithmetic,arithmet,arithmet,ic,Same
arithmetical,arithmet,arithmetic,al,Different
armadilloes,armadillo,armadillo,es,Same
armies,armi,armi,es,Same
armorial,armori,armorial,al,Different
armourer,armour,armourer,er,Different
aromatic,aromat,aromat,ic,Same
arrangement,arrang,arrangement,ment,Different
arranges,arrang,arrang,es,Same
arraying,array,arraying,ying,Different
arrival,arriv,arrival,al,Different
arrives,arriv,arriv,es,Same
arrogance,arrog,arrog,ance,Same
arrogance,arrog,arrog,ance,Same
arter,arter,arter,er,Same
artfulness,art,artful,ness,Different
artichokes,artichok,artichok,es,Same
articles,articl,articl,es,Same
articulate,articul,articul,ate,Same
articulate,articul,articul,ate,Same
artifices,artific,artific,es,Same
artificial,artifici,artifici,al,Same
artistic,artist,artist,ic,Same
artistical,artist,artistic,al,Different
artlessness,artless,artless,ness,Same
ascal,ascal,ascal,al,Same
ascetic,ascet,ascet,ic,Same
ascribes,ascrib,ascrib,es,Same
ashes,ash,ash,es,Same
asiatic,asiat,asiat,ic,Same
asiatiques,asiatiqu,asiatiqu,es,Same
askance,askanc,ask,ance,Different
askance,askanc,ask,ance,Different
aspirate,aspir,aspir,ate,Same
aspirate,aspir,aspir,ate,Same
aspiration,aspir,aspirat,tion,Different
aspires,aspir,aspir,es,Same
assayer,assay,assayer,er,Different
assembles,assembl,assembl,es,Same
assemblies,assembl,assembli,es,Different
assertion,assert,asserte,tion,Different
asses,ass,ass,es,Same
assignment,assign,assignment,ment,Different
assimilation,assimil,assimilat,tion,Different
assistance,assist,assist,ance,Same
assistance,assist,assist,ance,Same
assize,assiz,assize,ize,Different
assize,assiz,assize,ize,Different
assizes,assiz,assiz,es,Same
associate,associ,associ,ate,Same
associate,associ,associ,ate,Same
associates,associ,associat,es,Different
association,associ,associat,tion,Different
assortment,assort,assortment,ment,Different
assumes,assum,assum,es,Same
assumption,assumpt,assumpte,tion,Different
assurance,assur,assur,ance,Same
assurance,assur,assur,ance,Same
assurances,assur,assuranc,es,Different
assures,assur,assur,es,Same
astonishes,astonish,astonish,es,Same
astonishment,astonish,astonishment,ment,Different
astronomical,astronom,astronomic,al,Different
asunder,asund,asunder,er,Different
ate,ate,ate,ate,Same
ate,ate,ate,ate,Same
athletic,athlet,athlet,ic,Same
atlantic,atlant,atlant,ic,Same
atmospheric,atmospher,atmospher,ic,Same
atonement,aton,atonement,ment,Different
atrocities,atroc,atrociti,es,Different
attaches,attach,attach,es,Same
attachment,attach,attachment,ment,Different
attagis,attagi,attagis,is,Different
attainment,attain,attainment,ment,Different
attendance,attend,attend,ance,Same
attendance,attend,attend,ance,Same
attendances,attend,attendanc,es,Different
attention,attent,attente,tion,Different
attic,attic,att,ic,Different
attitudes,attitud,attitud,es,Same
attraction,attract,attracte,tion,Different
attributes,attribut,attribut,es,Same
attrition,attrit,attrite,tion,Different
atwater,atwat,atwater,er,Different
auction,auction,auction,tion,Same
audible,audibl,aud,ible,Different
audible,audibl,aud,ible,Different
audiences,audienc,audienc,es,Same
augment,augment,augment,ment,Same
augmentation,augment,augmentat,tion,Different
auguries,auguri,auguri,es,Same
auspices,auspic,auspic,es,Same
australes,austral,austral,es,Same
authentic,authent,authent,ic,Same
authoritative,authorit,authorit,ative,Same
authoritative,authorit,authorit,ative,Same
authorities,author,authoriti,es,Different
autobiographies,autobiographi,autobiographi,es,Same
autocratic,autocrat,autocrat,ic,Same
autres,autr,autr,es,Same
autumnal,autumn,autumnal,al,Different
auxiliaries,auxiliari,auxiliari,es,Same
avenger,aveng,avenger,er,Different
avenges,aveng,aveng,es,Same
avenues,avenu,avenu,es,Same
avoidance,avoid,avoid,ance,Same
avoidance,avoid,avoid,ance,Same
avowal,avow,avow,al,Same
awakes,awak,awak,es,Same
awhiles,awhil,awhil,es,Same
awkwardness,awkward,awkward,ness,Same
axes,axe,ax,es,Different
axis,axi,axis,is,Different
axles,axl,axl,es,Same
ayres,ayr,ayr,es,Same
azores,azor,azor,es,Same
babes,babe,bab,es,Different
babies,babi,babi,es,Same
backer,backer,backer,er,Same
backwardness,backward,backward,ness,Same
badger,badger,badger,er,Same
badges,badg,badg,es,Same
badness,bad,badness,ness,Different
baize,baiz,baize,ize,Different
baize,baiz,baize,ize,Different
baker,baker,baker,er,Same
balance,balanc,bal,ance,Different
balance,balanc,bal,ance,Different
balconies,balconi,balconi,es,Same
bales,bale,bal,es,Different
balustrades,balustrad,balustrad,es,Same
bandages,bandag,bandag,es,Same
bandboxes,bandbox,bandbox,es,Same
bandmaster,bandmast,bandmaster,er,Different
bandying,bandi,bandying,ying,Different
banishes,banish,banish,es,Same
banishment,banish,banishment,ment,Different
banker,banker,banker,er,Same
banknotes,banknot,banknot,es,Same
bankruptcies,bankruptci,bankruptci,es,Same
banner,banner,banner,er,Same
banter,banter,banter,er,Same
baptismal,baptism,baptismal,al,Different
barber,barber,barber,er,Same
barcaroles,barcarol,barcarol,es,Same
barges,barg,barg,es,Same
barker,barker,barker,er,Same
barnacles,barnacl,barnacl,es,Same
barometer,baromet,barometer,er,Different
baroness,baro,baro,ness,Same
baronesses,baro,baroness,es,Different
baronial,baroni,baroni,al,Same
barrenness,barren,barren,ness,Same
barrier,barrier,barrier,er,Same
barrister,barrist,barrister,er,Different
barter,barter,barter,er,Same
basal,basal,basal,al,Same
basaltic,basalt,basalt,ic,Same
basement,basement,basement,ment,Same
baseness,base,base,ness,Same
baser,baser,baser,er,Same
bases,base,bas,es,Different
bashfulness,bash,bashful,ness,Different
basis,basi,basis,is,Different
bate,bate,bate,ate,Same
bate,bate,bate,ate,Same
bathes,bath,bath,es,Same
batter,batter,batter,er,Same
battles,battl,battl,es,Same
baubles,baubl,baubl,es,Same
baying,bay,bai,ying,Different
beaches,beach,beach,es,Same
beadles,beadl,beadl,es,Same
bearer,bearer,bearer,er,Same
beastliness,beastli,beastli,ness,Same
beauties,beauti,beauti,es,Same
beaver,beaver,beaver,er,Same
becomes,becom,becom,es,Same
bedchamber,bedchamb,bedchamber,er,Different
bedclothes,bedcloth,bedcloth,es,Same
bedevilment,bedevil,bedevilment,ment,Different
beer,beer,beer,er,Same
bees,bee,be,es,Different
beeswaxes,beeswax,beeswax,es,Same
beetles,beetl,beetl,es,Same
begrimes,begrim,begrim,es,Same
behaves,behav,behav,es,Same
beholder,behold,beholder,er,Different
behoves,behov,behov,es,Same
believer,believ,believer,er,Different
believes,believ,believ,es,Same
bellies,belli,belli,es,Same
bellower,bellow,bellower,er,Different
bencher,bencher,bencher,er,Same
benches,bench,bench,es,Same
benediction,benedict,benedict,tion,Same
beneficial,benefici,benefici,al,Same
bengal,bengal,bengal,al,Same
berries,berri,berri,es,Same
beseeches,beseech,beseech,es,Same
beseeltes,beseelt,beseelt,es,Same
besides,besid,besid,es,Same
bestowal,bestow,bestowal,al,Different
betimes,betim,betim,es,Same
betrayal,betray,betrayal,al,Different
betraying,betray,betraying,ying,Different
better,better,better,er,Same
betther,betther,betther,er,Same
betuloides,betuloid,betuloid,es,Same
bewilder,bewild,bewilder,er,Different
bewilderment,bewilder,bewilderment,ment,Different
bible,bibl,b,ible,Different
bible,bibl,b,ible,Different
bidder,bidder,bidder,er,Same
bifurcation,bifurc,bifurcat,tion,Different
bigger,bigger,bigger,er,Same
bigness,big,bigness,ness,Different
bindloes,bindlo,bindlo,es,Same
biographical,biograph,biographic,al,Different
bisection,bisect,bisecte,tion,Different
bishopgate,bishopg,bishopg,ate,Same
bishopgate,bishopg,bishopg,ate,Same
bishopric,bishopr,bishopr,ic,Same
bishopsgate,bishopsg,bishopsg,ate,Same
bishopsgate,bishopsg,bishopsg,ate,Same
bisness,bis,bisness,ness,Different
bites,bite,bit,es,Different
bitter,bitter,bitter,er,Same
bitterer,bitter,bitterer,er,Different
bitterness,bitter,bitter,ness,Same
bivalves,bivalv,bivalv,es,Same
blackberries,blackberri,blackberri,es,Same
blacker,blacker,blacker,er,Same
bladder,bladder,bladder,er,Same
blades,blade,blad,es,Different
blamelessness,blameless,blameless,ness,Same
blames,blame,blam,es,Different
blankness,blank,blank,ness,Same
blasphemer,blasphem,blasphemer,er,Different
bleakness,bleak,bleak,ness,Same
blemishes,blemish,blemish,es,Same
blessedness,blessed,blessed,ness,Same
blesses,bless,bless,es,Same
blinder,blinder,blinder,er,Same
blindness,blind,blind,ness,Same
blindnesses,blind,blindness,es,Different
blister,blister,blister,er,Same
blitheness,blith,blithe,ness,Different
bloodlessness,bloodless,bloodless,ness,Same
blotches,blotch,blotch,es,Same
blower,blower,blower,er,Same
blubber,blubber,blubber,er,Same
blues,blue,blu,es,Different
blunder,blunder,blunder,er,Same
bluntness,blunt,blunt,ness,Same
blushes,blush,blush,es,Same
bluster,bluster,bluster,er,Same
boarder,boarder,boarder,er,Same
boastfulness,boast,boastful,ness,Different
bobster,bobster,bobster,er,Same
bodies,bodi,bodi,es,Same
bodilessness,bodiless,bodiless,ness,Same
boer,boer,boer,er,Same
boffinites,boffinit,boffinit,es,Same
boiler,boiler,boiler,er,Same
bois,boi,bois,is,Different
bolder,bolder,bolder,er,Same
boldness,bold,bold,ness,Same
boles,bole,bol,es,Different
bolster,bolster,bolster,er,Same
bolter,bolter,bolter,er,Same
bones,bone,bon,es,Different
bonfires,bonfir,bonfir,es,Same
booker,booker,booker,er,Same
bookseller,booksel,bookseller,er,Different
border,border,border,er,Same
bores,bore,bor,es,Different
borrower,borrow,borrower,er,Different
bosomer,bosom,bosomer,er,Different
bosses,boss,boss,es,Same
botanic,botan,botic,ic,Different
botanical,botan,botanic,al,Different
bother,bother,bother,er,Same
botheration,bother,botherat,tion,Different
bottles,bottl,bottl,es,Same
boulder,boulder,boulder,er,Same
bouleversees,bouleverse,bouleverse,es,Same
boundaries,boundari,boundari,es,Same
boungites,boungit,boungit,es,Same
bourgeois,bourgeoi,bourgeois,is,Different
bower,bower,bower,er,Same
boxes,box,box,es,Same
braces,brace,brac,es,Different
brachiotis,brachioti,brachiotis,is,Different
brakes,brake,brak,es,Different
brambles,brambl,brambl,es,Same
branches,branch,branch,es,Same
branchial,branchial,branchial,al,Same
brasiliensis,brasiliensi,brasiliensis,is,Different
brasses,brass,brass,es,Same
brawler,brawler,brawler,er,Same
braying,bray,braying,ying,Different
breaches,breach,breach,es,Same
breaker,breaker,breaker,er,Same
breakwater,breakwat,breakwater,er,Different
breathes,breath,breath,es,Same
breathlessness,breathless,breathless,ness,Same
breeches,breech,breech,es,Same
breeder,breeder,breeder,er,Same
breezes,breez,breez,es,Same
brewer,brewer,brewer,er,Same
brewster,brewster,brewster,er,Same
bribes,bribe,brib,es,Different
brickmaker,brickmak,brickmaker,er,Different
bridal,bridal,bridal,al,Same
bridges,bridg,bridg,es,Same
brier,brier,brier,er,Same
brighter,brighter,brighter,er,Same
brightness,bright,bright,ness,Same
brilliance,brillianc,brilli,ance,Different
brilliance,brillianc,brilli,ance,Different
brisker,brisker,brisker,er,Same
briskness,brisk,brisk,ness,Same
bristles,bristl,bristl,es,Same
broader,broader,broader,er,Same
broadsides,broadsid,broadsid,es,Same
broker,broker,broker,er,Same
bronchial,bronchial,bronchial,al,Same
bronchitis,bronchiti,bronchitis,is,Different
brooker,brooker,brooker,er,Same
brooses,broos,broos,es,Same
brother,brother,brother,er,Same
browdies,browdi,browdi,es,Same
browner,browner,browner,er,Same
bruises,bruis,bruis,es,Same
brushes,brush,brush,es,Same
brutal,brutal,brutal,al,Same
brutes,brute,brut,es,Different
bubbles,bubbl,bubbl,es,Same
buckler,buckler,buckler,er,Same
